englishName,fourCode,sciName,sixCode
Greater Sage-Grouse,GRSG,Centrocercus urophasianus,CENURO
Greater Sand-Plover,GSAP,Charadrius leschenaultii,CHALES
Greater Scaup,GRSC,Aythya marila,AYTMAR
Greater Snow Goose Blue-morph,GSGB,Anser caerulescens atlantica,ANSCAT
Greater Snow Goose Intermediate-morph,GSGI,Anser caerulescens atlantica,ANSCAT
Greater Snow Goose White-morph,GSGW,Anser caerulescens atlantica,ANSCAT
Greater White-fronted Goose,GWFG,Anser albifrons,ANSALB
Greater Yellowlegs,GRYE,Tringa melanoleuca,TRIMEL
Green Hermit,GREH,Phaethornis guy,PHAGUY
Green Heron,GRHE,Butorides virescens,BUTVIR
Green Honeycreeper,GRHO,Chlorophanes spiza,CHLSPI
Green Ibis,GRIB,Mesembrinibis cayennensis,MESCAY
Green Jay,GRJA,Cyanocorax yncas,CYAYNC
Green Kingfisher,GKIN,Chloroceryle americana,CHLAME
Green Manakin,GMAK,Cryptopipo holochlora,CRYHOL
Green Mango,GMAG,Anthracothorax viridis,ANTVIR
Green Parakeet,GREP,Psittacara holochlorus,PSIHOL
Green Sandpiper,GRSA,Tringa ochropus,TRIOCH
Green Shrike-Vireo,GRSV,Vireolanius pulchellus,VIRPUL
Green Thorntail,GRET,Discosura conversii,DISCON
Green-and-rufous Kingfisher,GARK,Chloroceryle inda,CHLIND
Green-backed Sparrow,GBSP,Arremonops chloronotus,ARRCHL
Green-breasted Mango,GNBM,Anthracothorax prevostii,ANTPRE
Green-breasted Mountain-gem,GBMG,Lampornis sybillae,LAMSYB
Green-crowned Brilliant,GCBR,Heliodoxa jacula,HELJAC
Green-fronted Hummingbird,GFHU,Leucolia viridifrons,LEUVIR
Green-fronted Lancebill,GFRL,Doryfera ludovicae,DORLUD
Green-naped Tanager,GNTA,Tangara fucosa,TANFUC
Green-rumped Parrotlet,GRUP,Forpus passerinus,FORPAS
Green-striped Brushfinch,GSBR,Arremon virenticeps,ARRVIR
Green-tailed Towhee,GTTO,Pipilo chlorurus,PIPCHL
Green-tailed Warbler,GTWA,Microligea palustris,MICPAL
Green-throated Carib,GTCA,Eulampis holosericeus,EULHOL
Green-throated Mountain-gem,GTMG,Lampornis viridipallens,LAMVIR
Green-winged Teal,GWTE,Anas crecca,ANACRE
Greenish Elaenia,GREL,Myiopagis viridicata,MYIVIR
Greenish Puffleg,GRPU,Haplophaedia aureliae,HAPAUR
Grenada Dove,GRDO,Leptotila wellsi,LEPWEL
Grenada Flycatcher,GFLY,Myiarchus nugator,MYINUG
Groove-billed Ani,GBAN,Crotophaga sulcirostris,CROSUL
Guadalupe Caracara,GUCA,Caracara lutosa,CARLUT
Guadalupe Junco,GUJU,Junco insularis,JUNINS
Guadalupe Murrelet,GUMU,Synthliboramphus hypoleucus,SYNHYP
Guadalupe Storm-Petrel,GUSP,Hydrobates macrodactylus,HYDMAD
Guadeloupe Woodpecker,GUWO,Melanerpes herminieri,MELHER
Guatemalan Tyrannulet,GUTY,Zimmerius vilissimus,ZIMVIL
Gull-billed Tern,GBTE,Gelochelidon nilotica,GELNIL
Gundlach's Hawk,GUHA,Accipiter gundlachi,ACCGUN
Gunnison Sage-Grouse,GUSG,Centrocercus minimus,CENMIN
Gyrfalcon,GYRF,Falco rusticolus,FALRUS
Hairy Woodpecker,HAWO,Dryobates villosus,DRYVIL
Hammond's Flycatcher,HAFL,Empidonax hammondii,EMPHAM
Hammond's/Dusky Flycatcher,HDFL,Empidonax hammondii/oberholseri,EMPHAO
Happy Wren,HAWR,Pheugopedius felix,PHEFEL
Harlan's Hawk,HALH,Buteo jamaicensis harlani,BUTJHA
Harlequin Duck,HADU,Histrionicus histrionicus,HISHIS
Harpy Eagle,HAEA,Harpia harpyja,HARHAR
Harris's Hawk,HASH,Parabuteo unicinctus,PARUNI
Harris's Sparrow,HASP,Zonotrichia querula,ZONQUE
Hawaii Akepa,HAAK,Loxops coccineus,LOXCOC
Hawaii Amakihi,HAAM,Chlorodrepanis virens,CHLVIR
Hawaii Creeper,HCRE,Loxops mana,LOXMAN
Hawaii Elepaio,HAEL,Chasiempis sandwichensis,CHASAN
Hawaii Mamo,HAMA,Drepanis pacifica,DREPAC
Hawaii Oo,HAOO,Moho nobilis,MOHNOB
Hawaiian Coot,HACO,Fulica alai,FULALA
Hawaiian Crow,HCRO,Corvus hawaiiensis,CORHAW
Hawaiian Duck,HAWD,Anas wyvilliana,ANAWYV
Hawaiian Duck X Mallard Hybrid,HDMH,Anas wyvilliana x platyrhynchos,ANAWYP
Hawaiian Gallinule,HAGA,Gallinula gallinula sandvicensis,GALGSA
Hawaiian Goose,HAGO,Branta sandvicensis,BRASAN
Hawaiian Hawk,HAWH,Buteo solitarius,BUESOL
Hawaiian Petrel,HAPE,Pterodroma sandwichensis,PTESAN
Hawaiian Rail,HARA,Zapornia sandwichensis,ZAPSAN
Hawaiian Stilt,HAST,Himantopus mexicanus knudseni,HIMMKN
Hawfinch,HAWF,Coccothraustes coccothraustes,COCCOT
Heermann's Gull,HEEG,Larus heermanni,LARHEE
Helmeted Guineafowl,HELG,Numida meleagris,NUMMEL
Henslow's Sparrow,HESP,Centronyx henslowii,CENHEN
Hepatic Tanager,HETA,Piranga flava,PIRFLA
Herald Petrel,HEPE,Pterodroma heraldica,PTEHER
Hermit Thrush,HETH,Catharus guttatus,CATGUT
Hermit Warbler,HEWA,Setophaga occidentalis,SETOCC
Herring Gull,HERG,Larus argentatus,LARARG
Highland Guan,HIGU,Penelopina nigra,PENNIG
Highland Tinamou,HITI,Nothocercus bonapartei,NOTBON
Himalayan Snowcock,HISN,Tetraogallus himalayensis,TETHIM
Hispaniolan Crossbill,HICR,Loxia megaplaga,LOXMEG
Hispaniolan Emerald,HIEM,Riccordia swainsonii,RICSWA
Hispaniolan Lizard-Cuckoo,HILC,Coccyzus longirostris,COCLON
Hispaniolan Oriole,HIOR,Icterus dominicensis,ICTDOM
Hispaniolan Parakeet,HPAK,Psittacara chloropterus,PSICHL
Hispaniolan Parrot,HPAT,Amazona ventralis,AMAVEN
Hispaniolan Pewee,HIPE,Contopus hispaniolensis,CONHIS
Hispaniolan Spindalis,HISP,Spindalis dominicensis,SPDDOM
Hispaniolan Trogon,HITR,Priotelus roseigaster,PRIROS
Hispaniolan Woodpecker,HIWO,Melanerpes striatus,MELSTR
Hoary Redpoll,HORE,Acanthis hornemanni,ACAHOR
Hoffmann's Woodpecker,HOWO,Melanerpes hoffmannii,MELHOF
Honduran Emerald,HOEM,Amazilia luciae,AMALUC
Hooded Crow,HCRW,Corvus cornix,CORCOR
Hooded Grosbeak,HOOG,Coccothraustes abeillei,COCABE
Hooded Merganser,HOME,Lophodytes cucullatus,LOPCUC
Hooded Oriole,HOOR,Icterus cucullatus,ICTCUC
Hooded Warbler,HOWA,Setophaga citrina,SETCIT
Hooded Yellowthroat,HOYE,Geothlypis nelsoni,GEONEL
Hook-billed Kite,HBKI,Chondrohierax uncinatus,CHOUNC
Horned Grebe,HOGR,Podiceps auritus,PODAUR
Horned Guan,HOGU,Oreophasis derbianus,OREDER
